name,address,date,score,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22
Lenny's,5780 Airline Rd.. STE 110 Arlington. TN 38002,9/2/2020,95,,,,,,,,,,,,,,,,,,,,,,
Smith & Nephew Cafe,1450 E. Brooks Rd. Building B Memphis. TN 38116,9/2/2020,98,,,,,,,,,,,,,,,,,,,,,,
Domino's Pizza,5780 Airline Rd. Arlington. TN 38002,9/2/2020,97,,,,,,,,,,,,,,,,,,,,,,
Rockhouse Live,5709 Raleigh Lagrange Rd. Memphis. TN 38134,9/2/2020,76,Hands are not washed when entering in the kitchen.,Paper towel dispenser is inoperable by both hand washing station.,No date marking on tcs foods inside the cooler.,Observed improper thawing method. chicken placed in sink w/o running water.,No visible thermometer inside of cooler.,Unlabeled food containers inside of the coolers.,Ice scoop stored on top of the ice machine.,Dry storage area has a leak and needs to be swept out.,Microwave needs to be wiped clean and the cooler needs to be cleaned.,No test strips are provided during inspection.,Grease fryer has build up on the side of cooking equipments.,,,,,,,,,,,
Comidas Tipicus,5721 Raleigh Lagrange Rd. Memphis. TN 38134,9/2/2020,92,,,,,,,,,,,,,,,,,,,,,,
Daylight Donuts,5735 Raleigh Lagrange Rd. Memphis. TN 38134,9/2/2020,94,,,,,,,,,,,,,,,,,,,,,,
Domino's,1560 Union Ave. Memphis. TN 38104,9/1/2020,97,,,,,,,,,,,,,,,,,,,,,,
Huey's,77 S. Second St. Memphis. TN 38103,9/1/2020,98,,,,,,,,,,,,,,,,,,,,,,
Jasper's,1450 Gaither Memphis. TN 38106,9/1/2020,100,,,,,,,,,,,,,,,,,,,,,,
Rum Boogie Cafe,182 Beale St. Memphis. TN 38103,9/1/2020,96,,,,,,,,,,,,,,,,,,,,,,
Renee's Sandwich Shop,202 G. E. Patterson Ave. Memphis. TN 38103,9/1/2020,95,,,,,,,,,,,,,,,,,,,,,,
Westin Banquet Kitchen,170 Lt. George W. Lee Memphis. TN 38103,9/1/2020,99,,,,,,,,,,,,,,,,,,,,,,
Cookout,1468 Union Ave. Memphis. TN 38104,9/1/2020,95,,,,,,,,,,,,,,,,,,,,,,
Subway,61 S Second St STE 160 Memphis. TN 38103,9/1/2020,98,,,,,,,,,,,,,,,,,,,,,,
